microTime,latitude,longitude,altitude,heading,pitch,roll,horizFOV,vertFOV,relAzimuth,relElev,relRoll
1739754435000000,24.99861,121.4881,64.751,114.1921,0,0,115.4,70.3,0,0,0
1739754436000000,24.99861,121.4881,65.709,114.1921,0,0,115.4,70.3,0,0,0
1739754437000000,24.99861,121.4881,67.127,114.1921,0,0,115.4,70.3,0,0,0
1739754438000000,24.99861,121.4881,68.603,114.1921,0,0,115.4,70.3,0,0,0
1739754439000000,24.9986,121.4881,70.291,114.1921,0,0,115.4,70.3,0,0,0
1739754440000000,24.9986,121.4881,72.407,159.7501,0,0,115.4,70.3,0,0,0
1739754441000000,24.9986,121.4881,73.341,159.7501,0,0,115.4,70.3,0,0,0
1739754442000000,24.9986,121.4881,74.864,159.7501,0,0,115.4,70.3,0,0,0
1739754443000000,24.9986,121.4881,76.412,159.7501,0,0,115.4,70.3,0,0,0
